Category,Product Name,Price
Motor,L293D Motor Driver Shield,
Motor,A4988 Stepper Driver,
Motor,DRV8825 Stepper Driver,
Motor,TB6600 Stepper Driver,
Motor,Cooling Fan 12V,
Robotics,Robot Wheel Plastic,
Robotics,Robot Wheel Rubber,
Robotics,Robot Chassis 2WD,
Robotics,Robot Chassis 4WD,
Robotics,Motor Coupler,
Robotics,Encoder Wheel,
Robotics,Servo Horn Set,
Robotics,Caster Wheel,
Robotics,Robot Arm Kit,
Drone,Drone Frame F450,
Drone,Drone Frame F550,
Drone,Brushless Motor 1000KV,
Drone,Brushless Motor 2200KV,
Drone,ESC 30A,
Drone,ESC 40A,
Drone,Drone Propeller 8045,
Drone,Drone Propeller 5045,
Drone,Power Distribution Board,
Drone,Flight Controller NAZE32,
Drone,Drone Landing Gear,
Switch,Push Button,
Switch,Tactile Switch,
Switch,Slide Switch,
Switch,Toggle Switch,
Switch,Rotary Encoder,
Switch,Potentiometer 10k,
Switch,Potentiometer 100k,
Switch,Joystick Module,
Switch,Keypad 4x4,
Output,Active Buzzer,
Output,Passive Buzzer,
Output,Speaker 8 Ohm,
Output,Relay Module 1 Channel,
Output,Relay Module 2 Channel,
Output,Relay Module 4 Channel,
Tool,Breadboard 400 Points,
Tool,Breadboard 830 Points,
Tool,Multimeter,
Tool,Soldering Iron 25W,
Tool,Solder Wire Reel,
Tool,Wire Stripper,
Tool,Tweezer Set,
Tool,Helping Hand with Magnifier,
Tool,Anti-static Wrist Strap,
Tool,Desoldering Pump,
Tool,Screwdriver Set,
Tool,Pliers,
Tool,Cutter,
Tool,Glue Gun,
Tool,Hot Glue Sticks,
Kit,Arduino Starter Kit,
Kit,Sensor Kit 37 in 1,
Kit,Resistor Kit,
Kit,Capacitor Kit,
Kit,Transistor Kit,
Kit,LED Kit,
Kit,Diode Kit,
Kit,Screw Nut Kit,
Passive,Resistor 220 Ohm,
Passive,Resistor 1k Ohm,
Passive,Resistor 10k Ohm,
Passive,Resistor 100k Ohm,
Passive,Capacitor 10uF,
Passive,Capacitor 100uF,
Passive,Capacitor 100nF,
Passive,Inductor 100uH,
Passive,Crystal Oscillator 16MHz,
Passive,Crystal Oscillator 32.768kHz,
Passive,Fuse 500mA,
Passive,Fuse 1A,
Passive,Fuse Holder,
Passive,Potentiometer Knob,
IC,555 Timer IC,
IC,LM358 Op-Amp,
IC,LM324 Op-Amp,
IC,74HC595 Shift Register,
IC,ATmega328P Microcontroller,
IC,ATtiny85 Microcontroller,
IC,ULN2003 Motor Driver IC,
IC,L7805 Voltage Regulator,
IC,L7812 Voltage Regulator,
IC,AMS1117 3.3V Regulator,
IC,Optocoupler PC817,
IC,MAX7219 LED Driver,
IC,FT232RL USB to Serial,
